LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME_MELBOURNE,ACTUAL_OFF_TIME_MELBOURNE,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,TRACK_TYPE,DISTANCE,RACE_TYPE,RACE_SPEED,PLACES_PAID,SELECTION_ID,SILK_NUMBER,SELECTION_NAME,SPEED_CATEGORY,EARLY_SPEED,LATE_SPEED,CARROT_CRUNCHER_RATED_PRICE,TOP_5_RANK,STALL_DRAW,TRAINER_NAME,JOCKEY_NAME,WEIGHT_VALUE,DAYS_SINCE_LAST_RUN,COLOUR_TYPE,FORM,SEX_TYPE,AGE,BRED,DAM_BRED,DAM_NAME,SIRE_BRED,SIRE_NAME,DAMSIRE_BRED,DAMSIRE_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,AVG_CORP_PRICE_AT_OFF,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_10AM_MELB_TIME,BEST_AVAIL_LAY_AT_10AM_MELB_TIME,BACK_MARKET_PERCENTAGE_AT_10AM_MELB_TIME,LAY_MARKET_PERCENTAGE_AT_10AM_MELB_TIME
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,2735774,1,Questioneverything,Leader,1.0,3.0,1.82,1.0,7,Steve Wolfe,Natasha Faithfull,58.0,13,br,2,g,4,AUS,AUS,Star Myst,GB,Power,AUS,Sidereus,1,1.76,1,1.15,1.4833,6410.19,2.48,1.57,1.77,1.67,18031.98,3.45,1.01,1.01,1.52,3218.82,220.08,1.16,1.12,1.16,1.14,618.49,1.66,2.48,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,91116838,10,Mystic Chaos,Backmarker,0.1666666666666666,5.0,7.59,,4,Misty Bazeley,Ava Catarino,54.0,13,b/br,4,f,3,AUS,AUS,It's Game On,NZ,Xtravagant,AUS,Elvstroem,0,7.92,0,2.02,6.5,3254.07,10.5,7.0,7.6,8.32,5183.3,870.0,3.9,470.0,9.13,144.92,159.43,2.12,1.72,2.0,1.93,1111.74,5.4,11.5,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,91116827,2,Larakinism,On-Pace,0.75,3.0,19.1,,8,Brett Pope,Elisha Whittington,58.0,16,b,9x7,g,4,AUS,AUS,Taylor Bay,AUS,Sessions,AUS,Commands,0,29.29,0,5.7,21.0,947.92,44.0,20.0,36.0,33.43,804.9,870.0,16.0,470.0,124.33,8.54,21.8,5.7,5.7,5.7,5.7,6.43,16.5,40.0,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,2624644,3,Villain,Midfield,0.5,1.0,50.53,5.0,6,Indianna Weinert,Natika Riordan,58.0,261,b,00x,g,4,AUS,AUS,The Escape Plan,AUS,Maschino,AUS,Blackfriars,0,63.72,0,7.76,42.6667,115.19,120.0,50.0,65.0,75.51,280.01,870.0,28.0,870.0,91.76,5.69,174.72,8.2,7.6,8.0,8.01,92.04,65.0,210.0,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,83605456,4,Arafisio,Backmarker,0.0833333333333333,2.0,33.48,4.0,10,Sarah Searle,Casey Hunter,56.0,183,ch,4965x,m,6,AUS,AUS,Lee Rani,AUS,My Admiration,AUS,Kendel Star,0,75.0,0,8.35,68.3333,238.75,240.0,48.0,65.0,98.51,324.91,870.0,5.2,870.0,88.17,7.33,208.15,14.0,8.2,8.2,11.7,817.28,32.0,130.0,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,91116829,5,American Que Tee,Off Midfield,0.3333333333333333,3.0,8.62,2.0,9,Paul Hunter,Jason Whiting,56.0,13,b,x50x3,m,5,AUS,AUS,Quambatook,AUS,All American,USA,State City,0,11.71,1,2.4,9.8333,2681.11,15.5,9.6,12.0,12.05,2280.27,450.0,2.6,100.0,23.57,96.65,418.59,2.6,2.4,2.42,2.42,552.01,8.0,17.0,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,91116831,6,Tapitlikeitssassy,On-Pace,0.8333333333333334,2.0,22.95,3.0,3,Helen Harding,Kyra Yuill,56.0,157,b,5790x,m,4,AUS,AUS,Blue Sasso,USA,A Lot,AUS,Due Sasso,0,10.79,0,2.34,9.1667,1041.39,28.0,9.6,10.5,12.3,2065.38,870.0,4.6,870.0,11.06,141.41,336.85,3.05,2.34,2.36,2.41,609.05,19.5,50.0,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,91116833,7,Hes A Lot Hot,No Data,0.0,Unknown,34.95,,2,Paul Hunter,Christopher Nicoll,56.0,0,br,,g,3,AUS,AUS,Hottington,USA,A Lot,AUS,Red Hot Choice,0,23.0,0,4.4,16.3333,779.41,32.0,20.0,24.0,25.11,880.7,870.0,11.5,360.0,57.84,11.19,119.88,4.8,3.95,4.7,4.41,345.54,25.0,70.0,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,91116835,8,Miss Champagne,No Data,0.0,Unknown,189.2,,5,Roy Rogers,Jefferson Tsang,56.0,0,b/br,,m,4,AUS,AUS,Memoirs Of Paris,AUS,Sessions,AUS,Blackfriars,0,269.97,0,22.0,84.3333,58.54,330.0,150.0,250.0,240.71,55.98,870.0,360.0,470.0,499.09,0.45,37.65,36.0,17.0,36.0,28.02,55.13,90.0,360.0,1.16,0.64
15/11/2025,3:48:00 PM,3:49:36 PM,Albany,WA,1,250500700,R1 1230m Mdn,250500701,Country,1230,Mdn,Average,3.0,91116836,9,No Comebacks,No Data,0.0,Unknown,42.72,,1,Steve Wolfe,Rosie Mahony,56.0,0,ch,,g,3,AUS,AUS,Sentfromthestars,AUS,Gingerbread Man,AUS,Northern Meteor,0,38.83,1,6.4,26.3333,652.38,55.0,29.0,38.0,42.53,409.87,870.0,3.75,360.0,16.67,59.42,45.82,7.6,4.4,6.6,7.04,168.51,28.0,80.0,1.16,0.64
15/11/2025,4:26:00 PM,4:27:11 PM,Albany,WA,2,250500705,R2 1230m Mdn,250500706,Country,1230,Mdn,Average,3.0,570440,1,Crombie,Midfield,0.3889166666666666,3.0,48.59,5.0,7,Johnathon Jachmann,Natika Riordan,58.0,13,b,893x8,g,7,AUS,AUS,Quambatook,AUS,Awesome Rock,USA,State City,0,94.79,0,15.0,47.6667,81.42,140.0,80.0,85.0,97.52,35.03,1000.0,5.2,1000.0,86.33,8.3,14.38,16.5,11.5,12.0,11.92,53.91,46.0,170.0,1.11,0.54
15/11/2025,4:26:00 PM,4:27:11 PM,Albany,WA,2,250500705,R2 1230m Mdn,250500706,Country,1230,Mdn,Average,3.0,91116858,10,Astonisher,On-Pace,0.8333333333333334,2.0,16.73,,10,Indianna Weinert,Ava Catarino,54.0,13,ch,6,f,3,AUS,AUS,Autumn House,AUS,Mahuta,USA,More Than Ready,0,21.57,0,5.9,19.3333,1050.05,34.0,19.5,22.0,25.13,300.14,1000.0,12.5,1000.0,83.73,10.33,6.59,,,,,,15.0,34.0,1.11,0.54
