LOCAL_RACE_DATE,RACETIME,COUNTRY_ID,TRACK,EVENT_ID,WIN_MARKET_ID,PLACE_MARKET_ID,RACE_NAME,WIN_MARKET_NAME,RACE_NUMBER,SELECTION_ID,RUNNER_NAME,RATED_PRICE,WIN_BSP,WIN_RESULT,PLACE_BSP,PLACE_RESULT
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,26874789,Socialist Agenda,12.77,15.01,0.0,4.04,0.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,36041544,Liberated Lad,9.72,4.6,1.0,1.84,1.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,12395368,Bamboo Bay,10.88,16.0,0.0,3.8,0.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,39235697,Breccia,4.87,5.3,0.0,1.96,0.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,41968082,Typewritten,14.17,24.86,0.0,4.6,1.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,42165717,Star Of Markinch,11.19,22.0,0.0,4.8,1.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,47800234,Corsican Caper,8.46,18.19,0.0,4.4,0.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,48386160,Zivaniya,6.75,4.2,0.0,1.76,0.0
2025-10-31,2025-11-01 01:35:00,1.0,Newcastle,33924717,238000084,238000086.0,Weekly Free Bets With BetMGM Extra Handicap (Class F),2m Hcap,1,75556637,Dark Agent,10.49,19.71,0.0,5.0,0.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,11822607,Mr Coco Bean,67.91,144.75,0.0,21.13,0.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,26804884,Martins Brig,7.48,29.59,0.0,5.01,0.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,35323716,Inexplicable,39.29,30.0,0.0,5.1,0.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,38021468,Pop Favorite,11.93,24.0,0.0,5.24,0.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,45676800,Mr Heinz,8.15,7.96,0.0,2.6,1.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,48531488,Concert Boy,5.64,7.86,1.0,2.38,1.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,54148367,Eva Rosie,14.44,9.4,0.0,2.68,0.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,58821825,Top Gun Tina,59.99,134.61,0.0,22.0,0.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,67203810,Just Typical,5.93,7.73,0.0,2.5,1.0
2025-10-31,2025-11-01 02:10:00,1.0,Newcastle,33924717,238000091,238000092.0,Weekly Free Bets With BetMGM Extra Classified Stakes (Class F),1m Class Stks,2,67452337,Making A Move,5.61,2.57,0.0,1.46,0.0
