Date,Track,Race Name,Race,Market,Selection,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
2025-01-01,Ascot,R1 1000m 3yo,1,237704736,13210356,6,Promising,5,0.0,14.5,1.0,2.26
2025-01-01,Ascot,R1 1000m 3yo,1,237704736,71905366,3,Cleanemup,4,0.0,10.79,0.0,1.92
2025-01-01,Ascot,R1 1000m 3yo,1,237704736,78433879,1,Gold Flakes,2,0.0,16.7,0.0,2.25
2025-01-01,Ascot,R1 1000m 3yo,1,237704736,78433881,4,Shmoov Moova,1,1.0,1.48,1.0,1.1
2025-01-01,Ascot,R1 1000m 3yo,1,237704736,78433882,5,Supernatural,3,0.0,9.0,1.0,1.7
2025-01-01,Ascot,R2 1600m Hcap,2,237704745,2432309,4,Icebergs,3,0.0,3.5,1.0,1.49
2025-01-01,Ascot,R2 1600m Hcap,2,237704745,64083569,2,My Jimmy,5,0.0,10.5,0.0,3.04
2025-01-01,Ascot,R2 1600m Hcap,2,237704745,64163970,1,Madame Magic,1,0.0,5.16,0.0,1.91
2025-01-01,Ascot,R2 1600m Hcap,2,237704745,69932995,8,Antique Queen,2,0.0,6.2,1.0,2.08
2025-01-01,Ascot,R2 1600m Hcap,2,237704745,71082778,6,I Dreamed A Dream,4,1.0,16.5,1.0,4.1
2025-01-01,Ascot,,3,237704754,43155012,1,Capricorn Man,2,,,,
2025-01-01,Ascot,R3 1200m Hcap,3,237704754,61792053,8,Shooting Spirit,4,0.0,9.2,0.0,2.64
2025-01-01,Ascot,R3 1200m Hcap,3,237704754,64343978,7,Hostile Talk,1,1.0,6.7,1.0,2.16
2025-01-01,Ascot,R3 1200m Hcap,3,237704754,68891162,9,Treasured Queen,3,0.0,4.4,0.0,1.88
2025-01-01,Ascot,R3 1200m Hcap,3,237704754,78433886,4,Dont Wait For Luck,5,0.0,12.53,0.0,3.35
2025-01-01,Ascot,R4 1000m Listed,4,237704763,6887187,2,Ghost Who Walks,4,0.0,41.26,0.0,4.8
2025-01-01,Ascot,R4 1000m Listed,4,237704763,27616457,1,Gemmas Son,3,0.0,83.14,0.0,10.0
2025-01-01,Ascot,R4 1000m Listed,4,237704763,41833007,4,Bopping Blue,1,0.0,1.99,1.0,1.15
2025-01-01,Ascot,R4 1000m Listed,4,237704763,41902163,3,Bitofmerit,2,0.0,9.0,0.0,2.22
2025-01-01,Ascot,R4 1000m Listed,4,237704763,69932981,8,Sunlit Fresco,5,0.0,17.32,0.0,3.28
2025-01-01,Ascot,R5 2400m Grp2,5,237704772,508070,5,Serpentine,3,0.0,17.96,0.0,5.47
2025-01-01,Ascot,R5 2400m Grp2,5,237704772,38766096,2,Young Werther,1,0.0,9.4,0.0,2.91
2025-01-01,Ascot,R5 2400m Grp2,5,237704772,76008434,12,In Good Order,4,0.0,9.12,0.0,2.68
2025-01-01,Ascot,R5 2400m Grp2,5,237704772,76008437,15,Sentimental Hero,5,0.0,3.54,0.0,1.7
2025-01-01,Ascot,R5 2400m Grp2,5,237704772,78292238,4,Socks Nation,2,0.0,23.89,0.0,6.4
2025-01-01,Ascot,,6,237704781,3037343,3,Bonjoy,3,,,,
2025-01-01,Ascot,R6 1800m Grp3,6,237704781,56253703,5,Antique Miss,2,1.0,4.31,1.0,1.68
2025-01-01,Ascot,R6 1800m Grp3,6,237704781,60780514,4,Amber Glide,5,0.0,9.83,0.0,2.44
2025-01-01,Ascot,R6 1800m Grp3,6,237704781,63860554,2,Rusty Dreams,1,0.0,9.92,1.0,2.48
2025-01-01,Ascot,R6 1800m Grp3,6,237704781,64163352,6,Miss Skyhigh,4,0.0,4.97,1.0,1.64
2025-01-01,Ascot,R7 1000m Hcap,7,237704790,43800397,3,Lexington City,1,0.0,12.0,1.0,3.57
2025-01-01,Ascot,R7 1000m Hcap,7,237704790,52621745,4,Fluro Neuro,2,0.0,18.5,0.0,3.81
2025-01-01,Ascot,R7 1000m Hcap,7,237704790,54340202,6,Under Influence,5,0.0,40.5,0.0,7.15
2025-01-01,Ascot,R7 1000m Hcap,7,237704790,78433889,9,Celestial Storm,3,0.0,3.45,1.0,1.55
2025-01-01,Ascot,R7 1000m Hcap,7,237704790,78433890,10,Angel Undercover,4,0.0,8.8,0.0,2.84
2025-01-01,Burrumbeet,R1 1000m Mdn,1,237701134,75796688,9,Redemption Time,3,0.0,2.78,1.0,1.2
2025-01-01,Burrumbeet,R1 1000m Mdn,1,237701134,78432882,3,Will Throw,5,0.0,46.45,0.0,6.8
2025-01-01,Burrumbeet,R1 1000m Mdn,1,237701134,78432884,5,Trouve,1,0.0,5.71,1.0,1.88
2025-01-01,Burrumbeet,R1 1000m Mdn,1,237701134,78432885,6,Xuanfeng,4,1.0,4.69,1.0,1.48
2025-01-01,Burrumbeet,R1 1000m Mdn,1,237701134,78432886,8,Red Sparks,2,0.0,4.2,0.0,1.53
2025-01-01,Burrumbeet,R2 1350m Mdn,2,237701140,136148,4,Miss Terasita,3,0.0,4.68,0.0,1.57
2025-01-01,Burrumbeet,R2 1350m Mdn,2,237701140,673968,3,Superior Speed,2,0.0,48.0,0.0,7.06
2025-01-01,Burrumbeet,R2 1350m Mdn,2,237701140,57147869,5,No Dixie,4,0.0,9.2,1.0,1.94
2025-01-01,Burrumbeet,R2 1350m Mdn,2,237701140,78432888,1,Real Shady,1,0.0,2.16,0.0,1.23
2025-01-01,Burrumbeet,R2 1350m Mdn,2,237701140,78432892,8,Kazza Joy,5,0.0,10.18,1.0,2.17
2025-01-01,Burrumbeet,R3 1800m Mdn,3,237701146,2523160,10,Tothemoonandback,5,1.0,3.25,1.0,1.36
2025-01-01,Burrumbeet,R3 1800m Mdn,3,237701146,47268602,8,Lady Of Steel,4,0.0,25.35,0.0,4.64
2025-01-01,Burrumbeet,R3 1800m Mdn,3,237701146,50739971,2,Cynic,3,0.0,9.81,0.0,2.52
2025-01-01,Burrumbeet,R3 1800m Mdn,3,237701146,69463160,4,Quizlet,2,0.0,4.22,1.0,1.61
2025-01-01,Burrumbeet,R3 1800m Mdn,3,237701146,78432897,3,Plastic Dreams,1,0.0,3.98,1.0,1.71
2025-01-01,Burrumbeet,R4 1350m Hcap,4,237701152,68157351,7,Mr Ferrari,5,0.0,8.6,0.0,3.1
2025-01-01,Burrumbeet,R4 1350m Hcap,4,237701152,74189572,4,Wild Irish Rover,1,0.0,3.75,1.0,1.94
2025-01-01,Burrumbeet,R4 1350m Hcap,4,237701152,75355107,1,Legacy Rose,2,1.0,2.24,1.0,1.38
2025-01-01,Burrumbeet,R4 1350m Hcap,4,237701152,78432903,2,Notmeanttobe,3,0.0,7.48,0.0,3.01
2025-01-01,Burrumbeet,R4 1350m Hcap,4,237701152,78432905,6,Glorious Machine,4,0.0,24.69,0.0,8.2
2025-01-01,Burrumbeet,R5 1350m Hcap,5,237701158,23315362,4,Preliminaires,1,0.0,9.8,1.0,2.39
2025-01-01,Burrumbeet,R5 1350m Hcap,5,237701158,32456361,7,Laststrikeyourout,5,0.0,36.96,0.0,6.8
2025-01-01,Burrumbeet,R5 1350m Hcap,5,237701158,40421886,3,Caboteur,3,0.0,6.43,1.0,2.3
2025-01-01,Burrumbeet,R5 1350m Hcap,5,237701158,44063531,5,The Untacklabull,4,0.0,7.18,0.0,2.08
2025-01-01,Burrumbeet,R5 1350m Hcap,5,237701158,63551761,2,Spinhof,2,1.0,3.04,1.0,1.42
2025-01-01,Burrumbeet,R6 1350m Hcap,6,237701164,43987499,9,The Hay Flyer,4,0.0,29.4,0.0,4.52
