Date,Track,Race Name,Race,Market,Selection,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
2025-09-01,Ballarat,R1 1000m Mdn,1,247205581,39831518,8,Danube,3,1.0,3.44,1.0,1.37
2025-09-01,Ballarat,R1 1000m Mdn,1,247205581,84732930,1,Crying Cougar,2,0.0,12.92,0.0,2.79
2025-09-01,Ballarat,R1 1000m Mdn,1,247205581,87857853,2,Cafe Dior,5,0.0,170.0,0.0,17.36
2025-09-01,Ballarat,R1 1000m Mdn,1,247205581,87857855,4,Spirit Of Gaia,1,0.0,2.78,0.0,1.3
2025-09-01,Ballarat,R1 1000m Mdn,1,247205581,87857856,6,Yatchaw,4,0.0,12.5,0.0,2.68
2025-09-01,Ballarat,R2 1200m 3yo,2,247205589,803024,7,Popthebubbly,3,0.0,4.97,0.0,1.47
2025-09-01,Ballarat,,2,247205589,87806612,6,Doubt In The Sky,5,,,,
2025-09-01,Ballarat,R2 1200m 3yo,2,247205589,87857858,2,Lord Coda,4,0.0,8.3,1.0,1.81
2025-09-01,Ballarat,R2 1200m 3yo,2,247205589,87857860,4,Angelos,2,0.0,10.85,0.0,1.98
2025-09-01,Ballarat,R2 1200m 3yo,2,247205589,87857862,8,Stormbender,1,1.0,2.21,1.0,1.15
2025-09-01,Ballarat,R3 1200m Mdn,3,247205597,71223173,3,Planet Mars,2,0.0,9.5,0.0,2.16
2025-09-01,Ballarat,R3 1200m Mdn,3,247205597,78977347,4,Ponte Arcobaleno,3,0.0,13.5,1.0,3.15
2025-09-01,Ballarat,R3 1200m Mdn,3,247205597,86854776,1,Call Me Eddy,5,0.0,9.6,0.0,2.48
2025-09-01,Ballarat,R3 1200m Mdn,3,247205597,87857864,6,Saucito,4,0.0,13.35,0.0,2.93
2025-09-01,Ballarat,R3 1200m Mdn,3,247205597,87857866,8,Unsnoozual,1,0.0,1.89,0.0,1.23
