Date,Track,Race Name,Race,Market,Selection,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
2026-06-01,Corowa,R1 900m Mdn,1,258736248,2658367,4,Hes Fierce,2,0.0,3.65,1.0,1.39
2026-06-01,Corowa,R1 900m Mdn,1,258736248,84943433,11,Shes First Lady,3,0.0,11.5,0.0,2.18
2026-06-01,Corowa,R1 900m Mdn,1,258736248,89060741,10,Metro Girl,5,0.0,11.5,0.0,3.05
2026-06-01,Corowa,R1 900m Mdn,1,258736248,98995304,2,Noteabeel,4,1.0,14.5,1.0,4.7
2026-06-01,Corowa,R1 900m Mdn,1,258736248,98995307,6,Vickies Dream,1,0.0,2.72,1.0,1.35
2026-06-01,Corowa,R2 1200m Mdn,2,258736251,94688259,1,Distant Stripes,2,0.0,6.99,0.0,3.08
2026-06-01,Corowa,R2 1200m Mdn,2,258736251,94950141,4,My Mate Elvis,3,0.0,15.0,0.0,3.24
2026-06-01,Corowa,R2 1200m Mdn,2,258736251,97918935,7,Tough As Stone,1,1.0,4.3,1.0,1.71
2026-06-01,Corowa,R2 1200m Mdn,2,258736251,98995311,5,Siyaasi,4,0.0,3.34,1.0,1.74
2026-06-01,Corowa,R2 1200m Mdn,2,258736251,98995313,11,Gypsy Mcphee,5,0.0,14.0,0.0,4.8
2026-06-01,Corowa,R3 1400m Mdn,3,258736254,84733437,14,Tristania,2,0.0,42.41,0.0,8.6
2026-06-01,Corowa,R3 1400m Mdn,3,258736254,98482124,10,Princess Prussia,1,0.0,3.35,0.0,1.52
2026-06-01,Corowa,R3 1400m Mdn,3,258736254,98995317,4,Western Edge,5,0.0,12.76,0.0,5.82
2026-06-01,Corowa,R3 1400m Mdn,3,258736254,98995319,12,Second Witness,3,0.0,17.5,0.0,5.1
2026-06-01,Corowa,R4 1600m Hcap,4,258736257,3083621,5,Bellman,1,0.0,8.32,0.0,2.82
2026-06-01,Corowa,R4 1600m Hcap,4,258736257,63640968,6,Belnera,3,0.0,9.79,0.0,2.86
2026-06-01,Corowa,R4 1600m Hcap,4,258736257,95022697,8,Sinhalese,5,0.0,40.92,0.0,14.4
2026-06-01,Corowa,R4 1600m Hcap,4,258736257,96146228,2,Ancho,4,0.0,7.21,0.0,2.42
2026-06-01,Corowa,R4 1600m Hcap,4,258736257,98240485,13,Doubtfree,2,0.0,5.1,1.0,2.17
2026-06-01,Corowa,R5 1200m Hcap,5,258736260,43503753,2,Ferrari Man,1,0.0,65.0,0.0,11.07
2026-06-01,Corowa,R5 1200m Hcap,5,258736260,76612228,5,The Cuban,2,0.0,24.0,0.0,4.13
2026-06-01,Corowa,R5 1200m Hcap,5,258736260,92504408,7,Brass Monkeys,3,0.0,3.22,1.0,1.45
2026-06-01,Corowa,R5 1200m Hcap,5,258736260,96495571,16,Ima Guru,4,0.0,8.63,0.0,2.9
2026-06-01,Corowa,R5 1200m Hcap,5,258736260,98995331,8,Caribbean Villa,5,0.0,8.77,0.0,3.15
2026-06-01,Corowa,R6 1400m CL2,6,258736263,87415988,4,Just Hear Me Out,4,0.0,4.13,1.0,1.84
2026-06-01,Corowa,,6,258736263,91485074,6,Demi God,5,,,,
2026-06-01,Corowa,R6 1400m CL2,6,258736263,98240484,7,Forte Cheval,3,1.0,4.49,1.0,1.93
2026-06-01,Corowa,R6 1400m CL2,6,258736263,98995338,8,Kirwans Bridge,1,0.0,5.6,0.0,1.95
2026-06-01,Corowa,R6 1400m CL2,6,258736263,98995340,15,Theos Choice,2,0.0,25.43,0.0,4.38
2026-06-01,Corowa,R7 1000m Hcap,7,258736266,4964976,10,Queue Jumper,3,0.0,3.94,0.0,1.66
2026-06-01,Corowa,R7 1000m Hcap,7,258736266,19308081,1,Jugiong,1,1.0,4.13,1.0,2.15
2026-06-01,Corowa,R7 1000m Hcap,7,258736266,36332334,5,Risky Whisky,4,0.0,6.73,1.0,2.54
2026-06-01,Corowa,R7 1000m Hcap,7,258736266,52205364,4,Hells Son,5,0.0,16.34,0.0,4.44
2026-06-01,Corowa,R7 1000m Hcap,7,258736266,94409480,13,Shuttering,2,0.0,36.51,0.0,7.07
2026-06-01,Kilmore,R1 1107m Mdn,1,258735906,3455481,9,Come Dancing,2,0.0,3.5,0.0,1.5
2026-06-01,Kilmore,R1 1107m Mdn,1,258735906,98451907,5,Swift Endorsement,1,0.0,5.23,1.0,1.69
2026-06-01,Kilmore,R1 1107m Mdn,1,258735906,99025395,1,Dark Fox,4,1.0,3.56,1.0,1.57
2026-06-01,Kilmore,R1 1107m Mdn,1,258735906,99025396,2,Eton Affair,3,0.0,10.5,1.0,2.8
2026-06-01,Kilmore,R1 1107m Mdn,1,258735906,99025401,12,Ice Quake,5,0.0,6.79,0.0,1.92
2026-06-01,Kilmore,R2 1107m Mdn,2,258735914,5866972,1,Allumeuse,2,0.0,13.95,0.0,3.14
2026-06-01,Kilmore,R2 1107m Mdn,2,258735914,69675099,11,Tuxedo Miss,4,0.0,13.5,0.0,3.1
2026-06-01,Kilmore,R2 1107m Mdn,2,258735914,78566590,7,Blazing Brook,3,0.0,75.0,0.0,10.22
2026-06-01,Kilmore,R2 1107m Mdn,2,258735914,96747224,12,Signed By A Kiss,5,1.0,8.72,1.0,2.46
2026-06-01,Kilmore,R2 1107m Mdn,2,258735914,98451873,2,Johnny Tightlips,1,0.0,1.99,1.0,1.13
2026-06-01,Kilmore,R3 1607m Mdn,3,258735922,2425369,9,Just Curious,5,0.0,19.78,0.0,4.2
2026-06-01,Kilmore,R3 1607m Mdn,3,258735922,6135528,6,So Vogue,4,0.0,15.5,0.0,3.86
2026-06-01,Kilmore,R3 1607m Mdn,3,258735922,69902608,5,Lyttelton,2,0.0,25.62,0.0,5.0
2026-06-01,Kilmore,R3 1607m Mdn,3,258735922,96800255,8,It Matters,3,1.0,8.43,1.0,2.88
2026-06-01,Kilmore,R3 1607m Mdn,3,258735922,98925325,1,A Long Story Short,4,0.0,3.94,0.0,1.7
2026-06-01,Kilmore,R3 1607m Mdn,3,258735922,99025407,11,Shes Astunnerarch,1,0.0,4.07,0.0,1.87
2026-06-01,Kilmore,R4 2007m Mdn,4,258735930,6955936,2,Determinato,1,0.0,2.76,0.0,1.37
2026-06-01,Kilmore,R4 2007m Mdn,4,258735930,90048728,10,I Believe I Belong,3,0.0,5.4,1.0,1.84
2026-06-01,Kilmore,R4 2007m Mdn,4,258735930,90252192,7,Cristaria,2,0.0,5.83,0.0,2.0
2026-06-01,Kilmore,R4 2007m Mdn,4,258735930,99025411,13,Squid Pro Quo,5,1.0,44.0,1.0,7.0
2026-06-01,Kilmore,R4 2007m Mdn,4,258735930,99025413,15,Medieval Warrior,4,0.0,22.55,0.0,5.7
2026-06-01,Kilmore,R5 2007m Hcap,5,258735938,1463434,1,Ring True,1,0.0,17.25,0.0,5.8
2026-06-01,Kilmore,R5 2007m Hcap,5,258735938,21010673,6,Just Landed,5,0.0,9.0,0.0,3.15
2026-06-01,Kilmore,R5 2007m Hcap,5,258735938,70421291,10,Taupo Tiger,3,0.0,5.97,0.0,2.28
2026-06-01,Kilmore,R5 2007m Hcap,5,258735938,86388863,7,Call Me Rhonda,4,0.0,3.71,1.0,1.7
2026-06-01,Kilmore,R5 2007m Hcap,5,258735938,99025418,11,High Torque,2,0.0,12.37,0.0,4.18
2026-06-01,Kilmore,R6 1457m Hcap,6,258735946,883268,7,Left Hook,2,0.0,16.23,0.0,5.01
2026-06-01,Kilmore,R6 1457m Hcap,6,258735946,81221748,2,Frozen Tide,4,0.0,9.7,0.0,3.01
2026-06-01,Kilmore,R6 1457m Hcap,6,258735946,85854840,10,Lafont,1,0.0,9.16,1.0,3.22
2026-06-01,Kilmore,R6 1457m Hcap,6,258735946,86347258,1,Blacklip,5,0.0,8.75,0.0,2.86
2026-06-01,Kilmore,R6 1457m Hcap,6,258735946,90798586,8,Sexy Warrior,3,0.0,6.8,0.0,2.66
2026-06-01,Kilmore,R7 1107m Hcap,7,258735954,21880871,8,Alesund,5,0.0,19.5,0.0,5.1
2026-06-01,Kilmore,R7 1107m Hcap,7,258735954,49807084,2,Got Out The Fence,3,0.0,3.06,1.0,1.5
2026-06-01,Kilmore,R7 1107m Hcap,7,258735954,72641747,3,Bossy Star,1,0.0,4.38,0.0,2.02
2026-06-01,Kilmore,R7 1107m Hcap,7,258735954,84943402,4,Never A Thought,4,0.0,10.0,0.0,3.02
2026-06-01,Kilmore,R7 1107m Hcap,7,258735954,99025423,7,Rhodesian Red,2,0.0,12.5,1.0,3.46
2026-06-01,Kilmore,R8 1607m Hcap,8,258735962,79022483,7,Pick Wisely,2,0.0,8.06,1.0,2.86
2026-06-01,Kilmore,R8 1607m Hcap,8,258735962,79195788,4,Cash Converter,1,1.0,14.0,1.0,4.46
2026-06-01,Kilmore,,8,258735962,83446050,8,Shrewsbury Road,3,,,,
2026-06-01,Kilmore,R8 1607m Hcap,8,258735962,92997088,11,Every Little Thing,5,0.0,6.9,0.0,2.48
2026-06-01,Kilmore,R8 1607m Hcap,8,258735962,99025425,9,Temu Tilly,4,0.0,11.0,0.0,3.33
2026-06-01,Northam,R1 2200m Mdn,1,258736350,3980291,2,Crombie,5,0.0,30.44,0.0,10.74
2026-06-01,Northam,R1 2200m Mdn,1,258736350,87678274,1,Macho Arquero,2,0.0,4.2,0.0,2.26
2026-06-01,Northam,R1 2200m Mdn,1,258736350,89920001,6,Miss Graphene,1,0.0,3.84,0.0,2.1
