Date,Track,Race Name,Race,Market,Selection,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
2025-07-01,Ballarat,R1 1200m Mdn,1,245208604,68712908,9,Kazza Joy,5,0.0,19.0,0.0,3.05
2025-07-01,Ballarat,R1 1200m Mdn,1,245208604,68825609,3,Invinciboo,2,0.0,29.0,1.0,3.6
2025-07-01,Ballarat,R1 1200m Mdn,1,245208604,85320154,1,Bialiatski,3,0.0,7.0,1.0,1.75
2025-07-01,Ballarat,R1 1200m Mdn,1,245208604,85320155,4,Mr Lopez,4,0.0,62.37,0.0,5.6
2025-07-01,Ballarat,R1 1200m Mdn,1,245208604,85320159,10,Keeni,1,1.0,1.68,1.0,1.09
2025-07-01,Ballarat,R2 1500m Mdn,2,245208612,62869101,7,Reward The Crown,3,0.0,4.9,0.0,1.57
2025-07-01,Ballarat,R2 1500m Mdn,2,245208612,84182154,1,All In Vain,5,1.0,2.9,1.0,1.3
2025-07-01,Ballarat,R2 1500m Mdn,2,245208612,85320161,2,Arties Fury,4,0.0,110.0,0.0,11.18
2025-07-01,Ballarat,R2 1500m Mdn,2,245208612,85320162,3,Brother Quickie,1,0.0,10.5,1.0,2.34
2025-07-01,Ballarat,R2 1500m Mdn,2,245208612,85320163,8,Team Heist,2,0.0,3.25,1.0,1.27
2025-07-01,Ballarat,R3 2100m Mdn,3,245208620,4843878,1,Battle Point,5,0.0,12.0,0.0,1.95
2025-07-01,Ballarat,R3 2100m Mdn,3,245208620,23483780,8,Candidasa,3,0.0,75.0,0.0,8.09
2025-07-01,Ballarat,R3 2100m Mdn,3,245208620,66825611,4,Im Inspired,1,0.0,15.96,0.0,2.82
2025-07-01,Ballarat,R3 2100m Mdn,3,245208620,83868165,3,Dun Wondering,4,1.0,1.64,1.0,1.15
2025-07-01,Ballarat,R3 2100m Mdn,3,245208620,85320166,11,Rivazza,2,0.0,9.82,1.0,2.38
2025-07-01,Ballarat,R4 1500m Hcap,4,245208628,595576,4,Radstar,2,0.0,18.38,1.0,3.85
2025-07-01,Ballarat,R4 1500m Hcap,4,245208628,45516501,5,Forest Diamond,3,0.0,4.98,1.0,1.58
2025-07-01,Ballarat,R4 1500m Hcap,4,245208628,62558789,6,Kipyegon,1,0.0,10.19,0.0,3.04
2025-07-01,Ballarat,R4 1500m Hcap,4,245208628,68638120,9,Dandino Belle,5,0.0,25.0,0.0,4.2
2025-07-01,Ballarat,R4 1500m Hcap,4,245208628,85320169,3,Albanian Star,4,0.0,3.33,0.0,1.47
2025-07-01,Ballarat,R5 1500m Hcap,5,245208636,61248977,2,Delivering,1,1.0,1.91,1.0,1.21
2025-07-01,Ballarat,R5 1500m Hcap,5,245208636,84222808,3,Wats Normal,2,0.0,13.0,0.0,2.69
2025-07-01,Ballarat,R5 1500m Hcap,5,245208636,85320171,5,Wash Ya Mouth Out,4,0.0,40.47,0.0,5.77
2025-07-01,Ballarat,R5 1500m Hcap,5,245208636,85320174,10,Max Rock,5,0.0,20.89,0.0,3.8
2025-07-01,Ballarat,R5 1500m Hcap,5,245208636,85320175,12,Anointed Lad,3,0.0,95.0,0.0,12.5
2025-07-01,Ballarat,R6 1200m Hcap,6,245208644,967820,5,Mantua,1,0.0,3.37,1.0,1.53
2025-07-01,Ballarat,R6 1200m Hcap,6,245208644,1290819,8,Arezzo,4,0.0,3.66,0.0,1.58
2025-07-01,Ballarat,R6 1200m Hcap,6,245208644,51784039,4,Santastico,5,0.0,5.89,1.0,1.67
2025-07-01,Ballarat,R6 1200m Hcap,6,245208644,62355525,7,Il Cubo,2,1.0,7.29,1.0,2.37
2025-07-01,Ballarat,R6 1200m Hcap,6,245208644,68890874,2,Tolpuddle,3,0.0,94.53,0.0,13.0
2025-07-01,Ballarat,R7 1000m Hcap,7,245208652,37059825,4,El Salto,4,0.0,42.0,0.0,6.46
2025-07-01,Ballarat,R7 1000m Hcap,7,245208652,70965867,2,Demojo,3,1.0,3.35,1.0,1.58
