Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Lawrence Wong,41,au AUS,FW,17-124,80,0,0,0,0,3,0,0,0,3,0,0,6,0,1,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Emin Durakovic,39,au AUS,MF,19-194,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Max Caputo,17,au AUS,FW,19-174,73,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Michael Ghossaini,50,,FW,,17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Harry Politidis,38,au AUS,LM,22-224,66,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Marco Tilio,23,au AUS,MF,23-168,24,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Steven Ugarkovic,6,au AUS,CM,30-172,90,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Mathew Leckie,7,au AUS,CM,34-003,65,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Zane Schreiber,19,au AUS,MF,19-252,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Benjamin Mazzeo,46,au AUS,RM,19-210,90,0,0,0,0,2,1,0,0,1,2,0,2,0,2,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Aziz Behich,16,au AUS,LB,34-053,90,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Samuel Souprayen,26,fr FRA,CB,35-355,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
German Ferreyra,22,ar ARG,CB,29-025,90,0,0,0,0,0,0,1,0,2,0,0,0,3,1,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Callum Talbot,2,au AUS,RB,23-347,80,0,0,0,0,0,0,1,0,2,0,0,3,2,1,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Nathaniel Atkinson,13,au AUS,"DF,MF",25-239,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Patrick Beach,33,au AUS,GK,21-185,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Melbourne City
Archie Goodwin,26,au AUS,FW,20-092,73,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Austin Ayoubi,42,au AUS,FW,23-195,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Ben Folami,17,au AUS,AM,25-244,45,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Yaya Dukuly,19,au AUS,FW,22-021,45,0,0,0,0,0,0,0,0,0,2,1,5,1,0,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Stefan Mauk,6,au AUS,AM,29-118,73,0,0,0,0,0,0,1,0,1,4,0,0,1,1,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Ryan White,44,au AUS,MF,20-260,17,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Zach Clough,10,eng ENG,AM,29-336,90,0,1,0,0,3,1,0,0,2,0,0,6,1,0,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Ethan Alagich,55,au AUS,DM,21-051,90,0,0,0,0,0,0,0,0,2,3,0,2,3,1,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Jay Barnett,14,au AUS,DM,23-359,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Ryan Kitto,7,au AUS,LB,30-182,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Isaias Sanchez,8,es ESP,CB,37-364,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Bart Vriends,3,nl NED,CB,33-274,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Dylan Pierias,20,au AUS,RB,24-353,90,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Ethan Cox,40,au AUS,GK,21-031,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Melbourne City,7/02/2025,Adelaide United
Noah Botic,19,au AUS,FW,23-029,85,1,0,0,0,3,1,0,0,1,1,0,1,0,0,0,Macarthur FC,Western United,9/02/2025,Western United
Ramy Najjarine,7,au AUS,MF,24-292,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Macarthur FC,Western United,9/02/2025,Western United
Hiroshi Ibusuki,9,jp JPN,FW,33-348,75,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,Macarthur FC,Western United,9/02/2025,Western United
Michael Ruhs,24,au AUS,FW,22-166,15,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,Macarthur FC,Western United,9/02/2025,Western United
Abel Walatee,20,au AUS,LM,20-353,65,1,0,0,0,2,2,1,0,1,2,0,1,1,0,0,Macarthur FC,Western United,9/02/2025,Western United
Matthew Grimaldi,10,au AUS,MF,21-073,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Macarthur FC,Western United,9/02/2025,Western United
Angus Thurgate,32,au AUS,CM,25-001,90,0,0,0,0,2,1,1,0,1,0,0,2,2,3,0,Macarthur FC,Western United,9/02/2025,Western United
Rhys Bozinovski,23,au AUS,CM,20-339,85,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,Macarthur FC,Western United,9/02/2025,Western United
Jordan Lauton,44,au AUS,MF,21-314,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Macarthur FC,Western United,9/02/2025,Western United
Riku Danzaki,77,jp JPN,RM,24-254,75,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,Macarthur FC,Western United,9/02/2025,Western United
Luke Vickery,37,au AUS,FW,19-107,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Macarthur FC,Western United,9/02/2025,Western United
Ben Garuccio,17,au AUS,LB,29-239,90,0,1,0,0,1,0,0,0,0,3,0,12,2,4,0,Macarthur FC,Western United,9/02/2025,Western United
Dylan Leonard,30,au AUS,CB,17-271,90,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,Macarthur FC,Western United,9/02/2025,Western United
Tomoki Imai,6,jp JPN,CB,34-072,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Macarthur FC,Western United,9/02/2025,Western United
Tate Russell,13,au AUS,RB,25-169,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Macarthur FC,Western United,9/02/2025,Western United
Matthew Sutton,33,au AUS,GK,24-339,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Macarthur FC,Western United,9/02/2025,Western United
Harry Sawyer,28,au AUS,FW,28-040,54,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Daniel De Silva,7,au AUS,MF,27-340,36,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Valere Germain,98,fr FRA,FW,34-298,90,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Marin Jakolis,44,hr CRO,LM,28-045,90,1,1,0,0,2,2,1,0,1,1,1,4,1,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Jake Hollmann,8,au AUS,CM,23-167,83,1,0,0,0,1,1,0,0,1,2,0,1,4,3,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Peter Makrillos,11,au AUS,MF,29-158,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Luke Brattan,26,au AUS,CM,34-338,90,0,0,0,0,1,0,1,0,1,1,0,4,3,1,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Chris Ikonomidis,9,au AUS,RM,29-281,60,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Walter Scott,18,au AUS,DF,25-130,30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Ivan Vujica,13,au AUS,LB,27-295,90,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Matthew Jurman,5,au AUS,CB,35-063,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Tomislav Uskok,6,au AUS,CB,33-232,90,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Kealey Adamson,20,au AUS,RB,21-337,90,0,0,0,0,1,0,0,0,0,2,0,4,0,2,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Filip Kurto,12,pl POL,GK,33-240,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Macarthur FC,Western United,9/02/2025,Macarthur FC
Nikos Vergos,9,gr GRE,FW,29-026,74,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Bruno Fornaroli,10,au AUS,FW,37-154,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Nishan Velupillay,17,au AUS,AM,23-277,74,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Reno Piscopo,27,au AUS,MF,26-257,16,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Zinadine Machach,8,fr FRA,AM,29-034,69,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Daniel Arzani,7,au AUS,MF,26-035,21,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Santos,11,br BRA,AM,23-196,90,0,0,0,0,3,3,0,0,1,2,0,4,0,1,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Jordi Valadon,14,au AUS,DM,21-341,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Ryan Teague,6,au AUS,DM,23-015,89,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Fabian Monge,18,au AUS,MF,23-211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Adama Traore,3,ci CIV,LB,35-005,89,0,0,0,0,3,1,1,0,1,0,0,5,1,2,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Jing Reec,19,au AUS,FW,21-241,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Roderick Miranda,21,pt POR,CB,33-315,90,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Brendan Hamill,5,au AUS,CB,32-143,90,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Joshua Rawlins,22,au AUS,RB,20-291,90,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Mitchell Langerak,1,au AUS,GK,36-170,90,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Melbourne Victory
Ben Gibson,22,au AUS,FW,22-036,45,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Lachlan Rose,9,au AUS,FW,25-274,45,1,0,0,0,2,1,0,0,2,1,0,0,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Clayton Taylor,13,au AUS,AM,20-344,90,1,0,0,0,4,1,0,0,1,1,1,1,2,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Eli Adams,7,au AUS,AM,22-333,90,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Daniel Wilmering,23,au AUS,DM,24-051,90,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Lachlan Bayliss,37,au AUS,DM,22-199,73,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Charles MMombwa,20,tz TAN,MF,26-331,17,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Callum Timmins,19,au AUS,DM,25-047,90,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Thomas Aquilina,39,au AUS,DM,24-006,90,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Mark Natta,33,au AUS,CB,22-072,90,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Kostandinos Grozos,17,au AUS,CB,24-182,90,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
PhillipCancar,4,hr CRO,CB,23-273,41,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Kota Mizunuma,18,jp JPN,"FW,MF",34-352,49,0,1,0,0,0,0,0,0,0,1,0,7,0,1,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Noah James,21,au AUS,GK,23-360,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Melbourne Victory,8/02/2025,Newcastle Jets
Mikael Doka,10,br BRA,FW,25-014,89,0,1,0,0,2,1,0,0,0,2,0,6,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Lucas Scicluna,44,mt MLT,MF,19-092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Ryan Edmondson,99,eng ENG,FW,23-263,45,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Alou Kuol,9,au AUS,FW,24-133,45,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Abdelelah Faisal,21,au AUS,LM,19-103,45,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Lucas Mauragis,12,au AUS,DF,23-156,45,0,0,0,0,2,1,0,0,1,2,0,6,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Harrison Steele,16,au AUS,CM,22-118,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Haine Eames,36,au AUS,CM,16-346,90,1,0,0,0,1,1,0,0,0,1,0,3,1,2,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
