LOCAL_MEETING_DATE,SCHEDULED_RACE_TIME_MELBOURNE,ACTUAL_OFF_TIME_MELBOURNE,TRACK,STATE_CODE,RACE_NO,WIN_MARKET_ID,WIN_MARKET_NAME,PLACE_MARKET_ID,TRACK_TYPE,DISTANCE,RACE_TYPE,RACE_SPEED,PLACES_PAID,SELECTION_ID,SILK_NUMBER,SELECTION_NAME,SPEED_CATEGORY,EARLY_SPEED,LATE_SPEED,CARROT_CRUNCHER_RATED_PRICE,TOP_5_RANK,STALL_DRAW,TRAINER_NAME,JOCKEY_NAME,WEIGHT_VALUE,DAYS_SINCE_LAST_RUN,COLOUR_TYPE,FORM,SEX_TYPE,AGE,BRED,DAM_BRED,DAM_NAME,SIRE_BRED,SIRE_NAME,DAMSIRE_BRED,DAMSIRE_NAME,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,AVG_CORP_PRICE_AT_OFF,WIN_BSP_VOLUME,WIN_PREPLAY_MAX_PRICE_TAKEN,WIN_PREPLAY_MIN_PRICE_TAKEN,WIN_PREPLAY_LAST_PRICE_TAKEN,WIN_PREPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_PREPLAY_VOLUME,WIN_INPLAY_MAX_PRICE_TAKEN,WIN_INPLAY_MIN_PRICE_TAKEN,WIN_LAST_PRICE_TAKEN,WIN_INPLAY_WEIGHTED_AVERAGE_PRICE_TAKEN,WIN_INPLAY_VOLUME,PLACE_BSP_VOLUME,PLACE_MAX_PRICE_TAKEN,PLACE_MIN_PRICE_TAKEN,PLACE_LAST_PRICE_TAKEN,PLACE_WEIGHTED_AVERAGE_PRICE_TAKEN,PLACE_PREPLAY_VOLUME,BEST_AVAIL_BACK_AT_10AM_MELB_TIME,BEST_AVAIL_LAY_AT_10AM_MELB_TIME,BACK_MARKET_PERCENTAGE_AT_10AM_MELB_TIME,LAY_MARKET_PERCENTAGE_AT_10AM_MELB_TIME
8/11/2025,12:27:00 PM,12:27:04 PM,Alice Springs,NT,1,250210461,R1 1200m CL2,250210462,Country,1200,CL2,Fast,3,83118853,1,Checkthemenu,On-Pace,0.75,4.0,15.21,,1,Rene Taylor,Raymond Vigar,59.0,7,b,352x3,g,4,AUS,AUS,Miss Hostie,AUS,Pariah,NZ,Filante,0,12.35,0,2.28,9.0,573.89,20.0,11.5,12.0,12.91,285.55,,,,,,560.9,2.46,2.26,2.4,2.32,139.09,12.0,36.0,1.15,0.73
8/11/2025,12:27:00 PM,12:27:04 PM,Alice Springs,NT,1,250210461,R1 1200m CL2,250210462,Country,1200,CL2,Fast,3,81221726,2,Demiquaver,Off-Pace,0.6666666666666666,1.0,2.07,1.0,5,Lisa Whittle,Paul Denton,59.0,7,b,76291,m,4,AUS,AUS,Complete Rort,AUS,Hallowed Crown,AUS,Fastnet Rock,1,2.05,1,1.15,1.7167,1099.53,2.18,1.77,2.06,2.02,3883.21,1.95,1.8,1.8,1.8,9.34,357.13,1.19,1.11,1.16,1.17,332.41,1.86,2.18,1.15,0.73
8/11/2025,12:27:00 PM,12:27:04 PM,Alice Springs,NT,1,250210461,R1 1200m CL2,250210462,Country,1200,CL2,Fast,3,65260426,3,Apolaki,Off-Pace,0.5833333333333334,4.0,20.99,2.0,2,Greg Connor,Ianish Luximon,58.0,13,ch,x7631,g,5,AUS,AUS,Beiwen,AUS,Fighting Sun,USA,Street Boss,0,45.89,0,5.5,26.6667,301.38,55.0,24.0,48.0,39.43,132.92,25.0,19.5,24.0,23.0,2.0,10.05,6.0,5.5,5.5,5.84,48.84,17.5,65.0,1.15,0.73
8/11/2025,12:27:00 PM,12:27:04 PM,Alice Springs,NT,1,250210461,R1 1200m CL2,250210462,Country,1200,CL2,Fast,3,69161619,4,Show Pony,On-Pace,0.8333333333333334,4.0,5.97,4.0,6,Ray Viney,Sonja Logan,57.5,273,b,1x46x,m,5,AUS,AUS,Hot In High Heels,AUS,Brazen Beau,IRE,High Chaparral,0,12.31,0,2.71,8.0,1030.49,13.0,7.2,12.0,10.26,761.6,,,,,,23.56,2.92,1.39,2.9,2.62,371.28,5.2,10.5,1.15,0.73
8/11/2025,12:27:00 PM,12:27:04 PM,Alice Springs,NT,1,250210461,R1 1200m CL2,250210462,Country,1200,CL2,Fast,3,90799125,5,Even Sharper,Midfield,0.4583333333333333,1.0,7.03,3.0,7,Greg Connor,Danielle Hirini,57.0,7,b,880x3,g,5,AUS,AUS,Sharpness,USA,More Than Ready,AUS,Wanted,0,4.0,1,1.39,4.0667,1637.2,6.2,3.9,4.0,4.28,1398.28,,,,,,5.29,1.49,1.38,1.44,1.47,142.64,6.0,12.0,1.15,0.73
8/11/2025,12:27:00 PM,12:27:04 PM,Alice Springs,NT,1,250210461,R1 1200m CL2,250210462,Country,1200,CL2,Fast,3,72415670,6,No Cash Here,Off-Pace,0.5416666666666666,4.0,12.08,5.0,3,Greg Connor,Lek Maloney,56.0,34,br,x2127,g,5,AUS,AUS,Arundel,AUS,Heroic Valour,AUS,Canny Lad,0,13.0,1,2.51,8.3333,173.78,13.0,9.2,12.0,11.02,384.98,,,,,,22.0,2.52,2.34,2.5,2.48,27.67,10.0,25.0,1.15,0.73
8/11/2025,12:27:00 PM,12:27:04 PM,Alice Springs,NT,1,250210461,R1 1200m CL2,250210462,Country,1200,CL2,Fast,3,81477556,7,Titanium Prince,Off-Pace,0.625,4.0,89.44,,4,Will Savage,Deborah Barton,56.0,13,br,81474,g,4,AUS,AUS,Precious Metals,AUS,Casino Prince,AUS,Mossman,0,170.0,0,12.5,57.6667,18.06,200.0,120.0,190.0,158.84,3.96,,,,,,5.7,12.5,10.5,12.5,12.03,15.27,80.0,180.0,1.15,0.73
8/11/2025,12:57:00 PM,12:57:36 PM,Alice Springs,NT,2,250210466,R2 1200m Hcap,250210467,Country,1200,Hcap,Slow,2,31814290,1,Excuses Excuses,No Data,0.0,3.0,13.7,5.0,5,James Carroll,Lek Maloney,61.0,13,b,751x5,g,10,AUS,AUS,Apologies,AUS,Kaphero,USA,Giant's Causeway,0,10.5,1,4.37,8.0,1343.37,17.5,7.4,11.0,10.15,2093.18,50.0,1.65,29.0,3.15,143.9,64.59,4.5,4.5,4.5,4.5,18.53,9.6,21.0,1.15,0.59
8/11/2025,12:57:00 PM,12:57:36 PM,Alice Springs,NT,2,250210466,R2 1200m Hcap,250210467,Country,1200,Hcap,Slow,2,47078128,2,Throw At Da Stumps,Backmarker,0.1666666666666666,3.0,7.03,1.0,6,Kerry Petrick,Paul Denton,61.0,13,b,386x5,g,7,AUS,AUS,Saffron Sunset,AUS,Rich Enuff,AUS,Smart Missile,0,6.51,0,3.1,5.6667,1546.79,12.0,5.8,6.6,6.61,2578.92,70.0,10.0,50.0,17.83,7.55,44.41,3.1,3.05,3.1,3.07,25.98,6.2,14.5,1.15,0.59
8/11/2025,12:57:00 PM,12:57:36 PM,Alice Springs,NT,2,250210466,R2 1200m Hcap,250210467,Country,1200,Hcap,Slow,2,68959320,3,Dunloe,Off-Pace,0.6666666666666666,1.0,5.83,2.0,4,Greg Connor,Ianish Luximon,59.0,99,b,3200x,g,5,AUS,AUS,Mella Maria,AUS,Fastnet Rock,AUS,Star Witness,0,3.64,0,1.94,2.6333,2559.78,5.2,2.32,3.6,3.07,5094.17,50.0,2.32,34.0,28.92,2.51,418.36,2.1,1.81,2.1,2.02,190.3,5.0,8.4,1.15,0.59
