Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Chris Ikonomidis,9,au AUS,FW,29-314,75,1,0,0,0,2,1,0,0,2,0,1,0,0,1,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Bernardo Oliveira,21,au AUS,FW,20-360,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Marin Jakolis,44,hr CRO,AM,28-078,90,1,1,0,0,4,2,0,0,1,0,1,5,0,1,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Jake Hollmann,8,au AUS,AM,23-200,45,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Peter Makrillos,11,au AUS,MF,29-191,45,0,1,0,0,0,0,1,0,2,0,0,2,4,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Kealey Adamson,20,au AUS,AM,22-005,90,1,0,0,0,1,1,0,0,0,2,0,4,1,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Luke Brattan,26,au AUS,DM,35-006,90,2,0,0,0,2,2,1,0,1,3,0,0,1,1,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Liam Rose,22,au AUS,DM,27-341,62,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Harry Sawyer,28,au AUS,FW,28-073,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Ivan Vujica,13,au AUS,LB,27-328,90,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Kevin Boli,39,fr FRA,CB,33-266,62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Matthew Jurman,5,au AUS,DF,35-096,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Tomislav Uskok,6,au AUS,CB,33-265,90,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Yianni Nicolaou,33,au AUS,RB,25-068,70,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Dean Bosnjak,24,au AUS,FW,18-154,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Filip Kurto,12,pl POL,GK,33-273,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Macarthur FC
Austin Ayoubi,42,au AUS,FW,23-230,66,1,1,0,0,3,1,0,0,0,0,0,2,1,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Yaya Dukuly,19,au AUS,FW,22-056,24,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Archie Goodwin,26,au AUS,FW,20-127,73,1,0,0,0,3,1,0,0,0,0,2,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Luka Jovanovic,9,au AUS,FW,19-298,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Zach Clough,10,eng ENG,FW,30-006,66,0,1,0,0,0,0,0,0,0,0,0,6,2,1,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Dylan Pierias,20,au AUS,"DF,MF",25-022,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Ethan Alagich,55,au AUS,CM,21-086,90,0,0,0,0,3,0,0,0,1,0,0,3,1,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Jay Barnett,14,au AUS,CM,24-028,86,0,0,0,0,1,0,0,0,1,0,0,1,2,2,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Ryan White,44,au AUS,MF,20-295,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Stefan Mauk,6,au AUS,CM,29-153,90,1,2,0,0,1,1,1,0,3,5,1,0,1,1,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Ryan Kitto,7,au AUS,LB,30-217,90,1,0,0,0,2,1,0,0,3,0,0,0,2,1,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Panagiotis Kikianis,51,au AUS,CB,20-006,90,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Bart Vriends,3,nl NED,CB,33-309,90,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Harry Crawford,58,au AUS,RB,18-244,73,0,0,0,0,0,0,0,0,0,1,0,7,3,1,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Jonny Yull,12,au AUS,MF,20-009,17,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
James Delianov,1,au AUS,GK,25-145,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Macarthur FC,14/03/2025,Adelaide United
Alou Kuol,9,au AUS,FW,24-170,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Nicholas Duarte,29,au AUS,MF,21-090,15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Christian Theoharous,7,au AUS,LM,25-100,71,0,0,0,0,3,1,0,0,0,2,0,0,2,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Miguel Di Pizio,23,au AUS,MF,19-071,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Alfie McCalmont,8,nir NIR,CM,24-356,90,0,0,0,0,1,1,0,0,1,0,0,0,3,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Haine Eames,36,au AUS,CM,17-017,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Harrison Steele,16,au AUS,MF,22-155,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Vitor Feijao,11,br BRA,RM,28-227,82,1,0,0,0,1,1,0,0,0,2,0,2,0,2,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Abdelelah Faisal,21,au AUS,FW,19-140,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Lucas Mauragis,12,au AUS,LB,23-193,90,0,1,0,0,1,0,0,0,1,1,1,3,0,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Nathan Paull,33,au AUS,CB,21-207,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Trent Sainsbury,4,au AUS,CB,33-070,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Brian Kaltack,3,vu VAN,CB,31-167,90,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Mikael Doka,10,br BRA,RB,25-051,82,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Storm Roux,15,nz NZL,DF,32-062,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Dylan Peraic-Cullen,40,au AUS,GK,18-234,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Central Coast Mariners
Jesse Randall,21,nz NZL,FW,22-209,61,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Auckland FC
Cameron Howieson,7,nz NZL,MF,30-084,29,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Auckland FC
Guillermo May,10,uy URU,FW,27-005,89,1,0,0,0,3,2,0,0,0,2,0,3,1,1,0,Auckland FC,Central Coast Mariners,16/03/2025,Auckland FC
Jonty Bidois,35,nz NZL,FW,20-131,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Auckland FC
Neyder Moreno,25,co COL,LM,28-035,60,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,Auckland FC,Central Coast Mariners,16/03/2025,Auckland FC
